"taxon","Binomial","Height.max..m.","Height.actual..m.","P50..MPa.","P12..MPa.","P88..MPa.","Slope","Ks..kg.m.1.MPa.1.s.1.","KL..kg.m.1.MPa.1.s.1.","Huber.value","SLA..cm2.g.1.","Latitude","Longitude","Altitude..m.","MATbest","PPTbest","Genus","Species","ID","animal","Phylo_axis_1","Phylo_axis_2","Phylo_axis_3","Phylo_axis_4","Phylo_axis_5","Phylo_axis_6","Phylo_axis_7","Phylo_axis_8","Phylo_axis_9","Phylo_axis_10","Phylo_axis_11","Phylo_axis_12"
"Syzygium_muelleri","Eugenia muelleri",NA,NA,-0.54,-0.22,-0.86,118.75,NA,NA,NA,NA,4.57,114.683333333333,13,27.3,3000,"Syzygium","muelleri",1409,"Syzygium_muelleri",-91.2065243166759,-99.3362630234485,107.843894770947,-1.00802146683837,-0.00259634390881836,25.0368580722408,0.302808832505688,-3.30358454354089,3.45751879928896,2.30488542328529,-0.253110860820043,-0.617780844762371
"Tachigali_versicolor","Tachigali versicolor",NA,23,-1.6,-0.4,NA,NA,NA,NA,NA,NA,9.28333333333333,-79.975,130,26.1,3100,"Tachigali","versicolor",666,"Tachigali_versicolor",-90.5981362798583,-34.0118445678351,-71.6613527249072,1.96165296074088,-0.0545073239192275,50.1417826733228,3.24965748379273,-96.3362740984454,-3.8073208297248,2.49405334931798,-6.18899590056706,-0.366614925876245
"Taiwania_cryptomerioides","Taiwania cryptomerioides",65,NA,-5.35,-1.62,-9.43,9.328604545,0.96,0.000167859,NA,NA,37.78,122.43,76,15,580,"Taiwania","cryptomerioides",830,"Taiwania_cryptomerioides",526.448226952483,-2.22114065344219,-0.57025051276016,3.01883702959922,95.3710997081684,0.115576320144113,11.1253233695377,0.431002131638011,-1.22079732326681,0.333298433959622,-0.00235158146727118,-0.00743726092487932
"Tamarix_ramosissima","Tamarix ramosissima",8,NA,-0.647208687,-0.19764148,-1.418270538,49.28268718,2.66,NA,NA,NA,44.2497222222222,-116.967777777778,655,9.9,312,"Tamarix","ramosissima",914,"Tamarix_ramosissima",-85.3568731425716,26.976990959682,7.20221450703604,11.2510327637499,-0.0160317295098312,-0.692235188463173,-1.21247998756978,2.2840862259922,-9.63821901930297,1.30562123459369,0.238489488820039,8.74522945899835
"Tamarix_ramosissima","Tamarix ramosissima",NA,NA,-1.61,NA,-4.29,14.17910448,3.66,NA,NA,NA,32.012726,-110.629098,1036,18.3,310,"Tamarix","ramosissima",1155,"Tamarix_ramosissima",-85.3568731425716,26.976990959682,7.20221450703604,11.2510327637499,-0.0160317295098312,-0.692235188463173,-1.21247998756978,2.2840862259922,-9.63821901930297,1.30562123459369,0.238489488820039,8.74522945899835
"Tapirira_guianensis","Tapirira guianensis",NA,NA,NA,NA,NA,NA,NA,0.001116,NA,NA,9.15,-79.85,60,26.5,3100,"Tapirira","guianensis",137,"Tapirira_guianensis",-89.5779082335588,-25.8718232924916,-13.3746442997719,0.345333254720441,0.00245782788342163,-109.907777387971,4.78445005432408,-18.5021526126591,13.2123577997748,8.04828271621595,-0.768002129466828,-1.83448791536855
"Tapirira_guianensis","Tapirira guianensis",NA,34,-1.8,-0.5,NA,NA,NA,NA,NA,NA,9.28333333333333,-79.975,130,26.1,3100,"Tapirira","guianensis",667,"Tapirira_guianensis",-89.5779082335588,-25.8718232924916,-13.3746442997719,0.345333254720441,0.00245782788342163,-109.907777387971,4.78445005432408,-18.5021526126591,13.2123577997748,8.04828271621595,-0.768002129466828,-1.83448791536855
"Taxodium_distichum","Taxodium distichum",40,15,-2.29,-1.728202247,-2.851797753,67.64,NA,NA,NA,NA,48.7,2.166666667,70,11,626,"Taxodium","distichum",251,"Taxodium_distichum",526.961465875496,-2.26508568504757,-0.583682607477535,3.09443955584789,98.0267930599737,0.119400970512274,11.5564278481323,0.449627606202052,-1.28014591543984,0.350291118995179,-0.0024875111554995,-0.00789685595818165
"Taxodium_distichum","Taxodium distichum",45,NA,-2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.6,1162,"Taxodium","distichum",403,"Taxodium_distichum",526.961465875496,-2.26508568504757,-0.583682607477535,3.09443955584789,98.0267930599737,0.119400970512274,11.5564278481323,0.449627606202052,-1.28014591543984,0.350291118995179,-0.0024875111554995,-0.00789685595818165
"Taxodium_distichum","Taxodium distichum",45,NA,-0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.6,1162,"Taxodium","distichum",404,"Taxodium_distichum",526.961465875496,-2.26508568504757,-0.583682607477535,3.09443955584789,98.0267930599737,0.119400970512274,11.5564278481323,0.449627606202052,-1.28014591543984,0.350291118995179,-0.0024875111554995,-0.00789685595818165
